Porosity [-],Bulk Density [g/cm3],Saturated Thermal Conductivity [W/mK],Dry Soil Thermal Conductivity [W/mK],Saturated Hydraulic Conductivity [m/s],alpha [1/m], n [-],s_r [-],,,Dry Soil Thermal Conductivity [W/mK],,,,Porosity [-],,,,Saturated Hydraulic Conductivity [m/s],,,alpha [1/m]
0.89,0.02,0.53,0.16,1.96E-03,,,,,0.3734939759,0.167,,,0.22,0.83,,,0.68,1.81E-05,,,
0.98,0.07,,0.06,2.03E-03,,,,,0.38,0.14,,,0.36,0.83,,,0.2329317269,2E-05,,,
0.98,0.05,,0.06,2.03E-03,,,,,0.3935742972,0.176,,,0.2489959839,0.8353413655,,,0.21,1.87E-05,,,
0.91,0.07,0.49,0.04,2.04E-03,,,,,0.4136546185,0.202,,,0.2570281124,0.8373493976,,,0.16,1.88E-05,,,
1.06,0.06,,0.06,2.06E-03,,,,,0.4297188755,0.174,,,0.24,0.84,,,0.2329317269,2E-05,,,
0.94,0.05,0.41,0.06,2.25E-03,,,,,0.4417670683,0.186,,,0.17,0.84,,,0.16,2.05E-05,,,
0.97,0.05,0.54,0.05,2.49E-03,,,,,0.48,0.10,,,0.14,0.84,,,0.17,2.22E-05,,,
0.91,0.06,0.24,0.03,2.64E-03,,,,,0.52,0.16,,,0.18,0.84,,,0.1726907631,2E-05,,,
0.92,0.09,0.46,,2.70E-03,,,,,0.5481927711,0.198,,,0.21,0.84,,,0.30,2.43E-05,,,
0.89,0.08,0.47,0.05,2.75E-03,,,,,0.56,0.13,,,0.17,0.85,,,0.3534136546,3E-05,,,
1.00,0.05,0.57,0.04,2.81E-03,,,,,0.562248996,0.182,,,0.33,0.85,,,0.343373494,3E-05,,,
0.95,0.05,0.52,0.23,2.86E-03,,,,,0.5863453815,0.209,,,0.2329317269,0.8453815261,,,0.1184738956,3E-05,,,
0.90,0.05,,,3.53E-03,,,,,0.59,0.17,,,0.3080321285,0.8465863454,,,0.1967871486,3E-05,,,
1.02,0.07,,0.06,3.53E-03,,,,,0.6224899598,0.394,,,0.30,0.85,,,0.9236947791,3E-05,,,
0.99,0.04,,0.08,4.50E-03,,,,,0.6345381526,0.245,,,0.1546184739,0.8473895582,,,0.1485943775,3E-05,,,
0.5080321285,1.2168674699,1.270,0.453,2E-02,,,,,0.6666666667,0.289,,,0.14,0.85,,,0.17,3.17E-05,,,
0.3698795181,1.6317269076,1.906,0.765,6.00E-02,,,,,0.68,0.12,,,0.22,0.85,,,0.21,3.17E-05,,,
0.4317269076,1.3534136546,1.630,0.556,7E-02,,,,,0.718875502,0.243,,,0.09,0.85,,,0.2991967871,4E-05,,,
0.1526104418,1.8313253012,1.633,0.669,1E-01,,,,,0.74,0.17,,,0.20,0.85,,,0.2248995984,4E-05,,,
0.359437751,1.2008032129,1.103,0.365,1E-01,,,,,0.8040160643,0.314,,,0.06,0.85,,,0.22,3.76E-05,,,
0.4036144578,1.2851405622,1.224,0.434,1E-01,,,,,0.8152610442,0.246,,,0.2168674699,0.8534136546,,,0.18,3.95E-05,,,
0.4738955823,0.983935743,0.936,0.314,2E-01,,,,,0.8429718876,0.265,,,0.156626506,0.8554216867,,,0.3172690763,4E-05,,,
0.4889558233,1.1124497992,1.269,0.405,2E-01,,,,,0.8514056225,0.164,,,0.156626506,0.8554216867,,,0.218875502,4E-05,,,
0.697188755,0.8710843373,1.313,0.347,2E-01,,,,,0.859437751,0.361,,,0.30,0.86,,,0.2168674699,4E-05,,,
0.4036144578,1.4457831325,1.586,0.532,4E-01,,,,,0.87,0.23,,,0.22,0.86,,,0.14,4.14E-05,,,
0.0080321285,1.8554216867,1.333,0.508,5E-01,,,,,0.8674698795,0.279,,,0.09,0.86,,,0.3253012048,4E-05,,,
0.3935742972,1.2168674699,1.212,0.470,5E-01,,,,,0.8710843373,0.347,,,0.11,0.86,,,0.1767068273,4.45E-05,,,
0.5522088353,0.8152610442,0.746,0.246,5E-01,,,,,0.89,0.16,,,0.1485943775,0.8634538153,,,0.17,4.54E-05,,,
0.3413654618,1.3975903614,1.740,0.595,6E-01,,,,,0.9236947791,0.396,,,0.1686746988,0.8634538153,,,0.18,4.60E-05,,,
0.5321285141,0.6345381526,0.767,0.245,6E-01,,,,,0.9357429719,0.295,,,0.1526104418,0.8634538153,,,0.2409638554,5E-05,,,
0.3654618474,1.1927710843,1.041,0.365,7E-01,,,,,0.983935743,0.314,,,0.218875502,0.8638554217,,,0.1807228916,5E-05,,,
0.4136546185,1.40562249,1.437,0.443,8E-01,,,,,1.0281124498,0.370,,,0.07,0.87,,,0.17,5.14E-05,,,
0.5574297189,0.8040160643,1.471,0.314,8.00E-01,,,,,1.03,0.16,,,0.19,0.87,,,0.17,5.25E-05,,,
0.3935742972,1.1044176707,0.963,0.362,9E-01,,,,,1.0562248996,0.333,,,0.15,0.87,,,0.14,5.32E-05,,,
0.5140562249,1.1967871486,1.318,0.481,9E-01,,,,,1.0963855422,0.532,,,0.2409638554,0.8714859438,,,0.29,5.44E-05,,,
0.3220883534,1.6887550201,1.746,0.629,1.10E+00,,,,,1.1044176707,0.362,,,0.33,0.87,,,0.36,5.49E-05,,,
0.6646586345,0.5481927711,0.659,0.198,1E+00,,,,,1.1124497992,0.405,,,0.1445783133,0.8734939759,,,0.1606425703,6E-05,,,
0.4337349398,1.3293172691,1.741,0.661,1E+00,,,,,1.1204819277,0.528,,,0.1726907631,0.875502008,,,0.2489959839,6.18055555555556E-005,,,
0.4417670683,1.0562248996,1.005,0.333,1.4,,,,,1.1365461847,0.667,,,0.2248995984,0.875502008,,,0.17,6.75E-05,,,
0.0401606426,1.8995983936,2.187,0.810,2E+00,,,,,1.1927710843,0.365,,,0.05,0.88,,,0.1726907631,7E-05,,,
0.4799196787,1.2409638554,1.700,0.598,2E+00,,,,,1.19,0.39,,,0.22,0.88,,,0.15,6.95E-05,,,
0.4819277108,0.8674698795,1.026,0.279,5E+00,,,,,1.1967871486,0.481,,,0.17,0.88,,,0.156626506,7E-05,,,
0.5722891566,0.859437751,1.053,0.361,6E+00,,,,,1.2008032129,0.365,,,0.23,0.88,,,0.1686746988,8E-05,,,
0.4016064257,1.297188755,1.654,0.347,6E+00,,,,,1.2168674699,0.453,,,0.29,0.88,,,0.14,7.85E-05,,,
0.4558232932,1.0963855422,1.206,0.532,7E+00,,,,,1.2168674699,0.470,,,0.10,0.88,,,0.19,8.22E-05,,,
0.4477911647,1.1365461847,1.698,0.667,1E+01,,,,,1.24,0.28,,,0.18,0.88,,,0.1526104418,8E-05,,,
0.7248995984,0.562248996,0.631,0.182,1E+01,,,,,1.2409638554,0.598,,,0.06,0.88,,,0.2449799197,9E-05,,,
0.8373493976,0.2570281124,0.545,0.147,1E+01,,,,,1.2851405622,0.434,,,0.17,0.89,,,0.3935742972,9E-05,,,
0.6927710843,0.5542168675,,,1E+01,,,,,1.297188755,0.347,,,0.18,0.89,,,0.16,9.05E-05,,,
0.5863453815,0.718875502,0.736,0.243,2E+01,,,,,1.3212851406,0.439,,,0.20,0.89,,,0.1546184739,1E-04,,,
